읍면동,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구,관리기관명,관리부서명,부서전화번호,데이터기준일자
삼랑진읍,6345,3152,3193,6.18 ,3.07 ,3.11 ,98.72 ,3588,1.77 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
하남읍,6849,3422,3427,6.67 ,3.33 ,3.34 ,99.85 ,3786,1.81 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
부북면,5017,2623,2394,4.88 ,2.55 ,2.33 ,109.57 ,2883,1.74 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
상동면,3087,1477,1610,3.01 ,1.44 ,1.57 ,91.74 ,1917,1.61 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
산외면,2786,1427,1359,2.71 ,1.39 ,1.32 ,105.00 ,1641,1.70 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
산내면,3783,1938,1845,3.68 ,1.89 ,1.80 ,105.04 ,2202,1.72 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
단장면,4254,2105,2149,4.14 ,2.05 ,2.09 ,97.95 ,2587,1.64 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
상남면,7980,4001,3979,7.77 ,3.90 ,3.87 ,100.55 ,4131,1.93 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
초동면,3363,1680,1683,3.27 ,1.64 ,1.64 ,99.82 ,1994,1.69 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
무안면,4853,2405,2448,4.73 ,2.34 ,2.38 ,98.24 ,2801,1.73 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
청도면,1727,844,883,1.68 ,0.82 ,0.86 ,95.58 ,1099,1.57 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
내일동,2568,1246,1322,2.50 ,1.21 ,1.29 ,94.25 ,1440,1.78 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
내이동,17395,8639,8756,16.94 ,8.41 ,8.53 ,98.66 ,8600,2.02 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
교동,5413,2625,2788,5.27 ,2.56 ,2.71 ,94.15 ,2668,2.03 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
삼문동,19678,9413,10265,19.16 ,9.16 ,9.99 ,91.70 ,8329,2.36 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
가곡동,7609,3583,4026,7.41 ,3.49 ,3.92 ,89.00 ,4128,1.84 ,경상남도 밀양시청,기획감사담당관,055-359-5821,2023-03-31
